mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,split0_test_F1,split1_test_F1,split2_test_F1,split3_test_F1,split4_test_F1,mean_test_F1,std_test_F1,rank_test_F1
1.1250237464904784,0.062016768803571494,0.17069263458251954,0.020197972024142412,"{0: 1, 1: 3}",5,log2,12,3,301,"{'class_weight': {0: 1, 1: 3}, 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 12, 'min_samples_split': 3, 'n_estimators': 301}",0.9597877160597416,0.9585448929508334,0.9801593977373092,0.9790238465744208,0.9623585818227699,0.9679748870290149,0.009571198976104279,99,0.9097373720422889,0.8951722095286451,0.9208268494763846,0.934053917651512,0.8964335281995205,0.9112447753796703,0.014778672444171885,100
1.0527853965759277,0.044938698101675306,0.21147527694702148,0.03950965059648037,"{0: 1, 1: 3}",15,log2,16,16,314,"{'class_weight': {0: 1, 1: 3}, 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 16, 'min_samples_split': 16, 'n_estimators': 314}",0.963164960563853,0.9633049843445882,0.9815052361525844,0.9801804264625479,0.9667956428481305,0.9709902500743407,0.008159870946455611,96,0.9152122839402583,0.9092303461115342,0.9263048324010598,0.9467657820582916,0.9073894940488707,0.9209805477120028,0.014486429249538146,95
1.1425620555877685,0.022619477958209795,0.2260136604309082,0.03538388293434124,"{0: 1, 1: 3}",40,log2,8,17,336,"{'class_weight': {0: 1, 1: 3}, 'max_depth': 40, 'max_features': 'log2', 'min_samples_leaf': 8, 'min_samples_split': 17, 'n_estimators': 336}",0.968262292330928,0.9687420665143437,0.9852273205198301,0.9842179417083736,0.9707280144677629,0.9754355271082478,0.007634506029555969,80,0.9201627789897633,0.9214902259456714,0.9208268494763846,0.9480064768473736,0.9086301888379525,0.9238233040194291,0.012988287289426866,86
1.0163638114929199,0.060700699470144656,0.16299710273742676,0.015289069662439515,"{0: 1, 1: 3}",20,log2,13,10,256,"{'class_weight': {0: 1, 1: 3}, 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 13, 'min_samples_split': 10, 'n_estimators': 256}",0.9647382111092465,0.9648070576288397,0.982766959666905,0.9817786095806872,0.968646170669134,0.9725474017309624,0.008071809605711017,90,0.9206871958382278,0.9135038503850383,0.9208268494763846,0.9480064768473736,0.9043929007023594,0.9214834546498768,0.014562259326040878,93
1.690584945678711,0.15847120178608265,0.8947110652923584,0.7019999802229021,balanced,,sqrt,7,10,443,"{'class_weight': 'balanced', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 7, 'min_samples_split': 10, 'n_estimators': 443}",0.9716185601611008,0.9726559194380976,0.9874143079446523,0.9865731589351054,0.9748706733397822,0.9786265239637476,0.006917228399200289,39,0.9226380265145158,0.9300372344926799,0.9238234428228961,0.9559658493502124,0.9390166968078395,0.9342962499976288,0.012292983626136157,21
5.473965787887574,0.5436329981496474,1.4510968685150147,1.0304710936616024,balanced,35,,11,18,491,"{'class_weight': 'balanced', 'max_depth': 35, 'max_features': None, 'min_samples_leaf': 11, 'min_samples_split': 18, 'n_estimators': 491}",0.9721429770095654,0.9740733688753491,0.9846805736636245,0.985689952475081,0.9787820162341758,0.9790737776515591,0.005446744734412437,31,0.9214004027521395,0.9385842430396886,0.917104765109139,0.9455250872692098,0.9268200361694074,0.9298869068679169,0.010630201678972665,58
2.476384401321411,1.0703826969764367,2.495487403869629,1.4363478203357118,balanced,10,sqrt,5,11,330,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 11, 'n_estimators': 330}",0.971261956704145,0.9722962680883472,0.9888022038104051,0.9871199057913109,0.975859023426,0.9790678715640416,0.007438764766877806,32,0.923875650276892,0.9282389777439282,0.933023510114817,0.9559658493502124,0.9432539849434327,0.9368715944858564,0.011519981491305604,7
4.325913763046264,0.8624003126278582,1.4762473106384277,0.7326131681916784,"{0: 1, 1: 3}",40,,9,9,367,"{'class_weight': {0: 1, 1: 3}, 'max_depth': 40, 'max_features': None, 'min_samples_leaf': 9, 'min_samples_split': 9, 'n_estimators': 367}",0.9726464171840914,0.9736819835829736,0.9848698321907726,0.9859422971779451,0.9786032720696471,0.9791487604410859,0.0055017538652991,27,0.9196383621412988,0.941059490564441,0.9183454598982209,0.9534844597720488,0.9280607309584893,0.9321177006668998,0.013404189720167405,42
4.123923683166504,1.233829138053313,2.3437196731567385,1.48650851561073,"{0: 1, 1: 3}",,,5,4,271,"{'class_weight': {0: 1, 1: 3}, 'max_depth': None, 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 271}",0.974660177882195,0.9752686807142252,0.9854586364974555,0.9868675610884469,0.9775308070824745,0.9799571726529595,0.00517584646032573,11,0.922826816579963,0.9435347380891935,0.9275455271901417,0.9512133574462717,0.9263048324010598,0.9342850543413259,0.011068156815674949,22
5.42940845489502,1.284732788028533,0.7900897979736328,0.27725834114011677,"{0: 1, 1: 3}",25,,3,2,326,"{'class_weight': {0: 1, 1: 3}, 'max_depth': 25, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 326}",0.9752685014264137,0.9766015063044766,0.9836501661269293,0.9844913151364763,0.9775938932581907,0.9795210764504972,0.003796708400215194,19,0.9185895284443698,0.9399382245916899,0.9287862219792236,0.9566913403709467,0.9263048324010598,0.934062029557458,0.013221360898138381,25
2.1157583236694335,0.12607410589401485,1.0650304317474366,0.15977606665234695,balanced,10,sqrt,5,15,458,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 15, 'n_estimators': 458}",0.971660513508978,0.9723174240500974,0.9881713420532446,0.9870568196155949,0.9760062245026706,0.9790424647461171,0.007162463488340531,33,0.923875650276892,0.9270013539815519,0.9342642049038988,0.9492471716364554,0.9487319678681079,0.9366240697333812,0.010645484657720734,8
