mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kernel,param_gamma,param_degree,param_C,params,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,split0_test_F1,split1_test_F1,split2_test_F1,split3_test_F1,split4_test_F1,mean_test_F1,std_test_F1,rank_test_F1
2.7041422367095946,1.400641955887957,1.0541189193725586,1.5339549937162964,rbf,auto,3,10.0,"{'kernel': 'rbf', 'gamma': 'auto', 'degree': 3, 'C': 10}",0.9700033562678303,0.9791931116188541,0.9819888968330739,0.988739117634689,0.977352062917946,0.9794553090544786,0.0061063896382879505,11,0.9201627789897633,0.9373466192773123,0.9402573915969215,0.946250578289944,0.9390166968078395,0.9366068129923562,0.008753171321125715,7
1.6347813606262207,0.14972099216179643,0.09159059524536133,0.025266079378285,poly,scale,4,1.0,"{'kernel': 'poly', 'gamma': 'scale', 'degree': 4, 'C': 1}",0.9610043631481793,0.9721693323178472,0.9806430584177986,0.9883606005803928,0.9677839929343482,0.9739922694797132,0.00960451394453936,33,0.9164499077026346,0.9305978674790555,0.9355048996929806,0.949762375404803,0.9280607309584893,0.9320751562475926,0.010835564094365589,32
0.7633648872375488,0.0230879173481071,0.051961660385131836,0.004097076655625819,linear,auto,3,0.1,"{'kernel': 'linear', 'gamma': 'auto', 'degree': 3, 'C': 0.1}",0.972163953683504,0.9798701023948548,0.9857320099255583,0.9892017495899398,0.9799596248475417,0.9813854880882797,0.005819834576753206,5,0.9244000671253566,0.9293602437166794,0.9450098835008622,0.9572065441392943,0.9450098835008622,0.940197324396611,0.01185437186422172,1
4.216407775878906,1.1037803789743823,0.04301047325134277,0.007296891531294503,linear,auto,3,10.0,"{'kernel': 'linear', 'gamma': 'auto', 'degree': 3, 'C': 10}",0.9670456452424905,0.9817741389523569,0.9801173402868317,0.9876666526475165,0.9789292173108466,0.9791065988880086,0.0067366157022516445,14,0.9244000671253566,0.925086739443175,0.9420132901543508,0.9485216806157211,0.9320877318416957,0.9344219018360598,0.009481178362073425,21
7.400983428955078,5.695218959448136,2.1919440269470214,3.132393531554123,rbf,auto,2,0.1,"{'kernel': 'rbf', 'gamma': 'auto', 'degree': 2, 'C': 0.1}",0.9602492028863904,0.9617394431750866,0.9735563780123649,0.9764373133700636,0.9588467847079111,0.9661658244303633,0.0073251808340453264,44,0.9065489176036248,0.8925806042142675,0.9116267821844639,0.9096605963746477,0.9011860201034613,0.904320584096093,0.006848567016712156,44
2.884889030456543,0.4379307476927321,0.1362358570098877,0.018542331849549554,poly,auto,2,1.0,"{'kernel': 'poly', 'gamma': 'auto', 'degree': 2, 'C': 1}",0.9659338815237456,0.9684881949733435,0.9779934390377256,0.9779724103124868,0.9698658367329773,0.9720507525160558,0.005005263991313872,40,0.9152122839402583,0.9073157315731573,0.933023510114817,0.9243386465912437,0.9116267821844639,0.918303390880788,0.009251669304690947,41
2.626369524002075,0.09743537768090871,0.25814085006713866,0.04480190746438806,rbf,scale,2,100.0,"{'kernel': 'rbf', 'gamma': 'scale', 'degree': 2, 'C': 100}",0.9534527605302904,0.9664360666835915,0.9817365521302098,0.9836922235774067,0.9786558438827438,0.9727946893608485,0.01138076084763039,38,0.8995007551602617,0.9191313362105441,0.9146233755309753,0.9487319678681079,0.9310573243050007,0.9226089518149779,0.016514472180212854,38
1.7027018070220947,0.30044710391982776,0.06992473602294921,0.017775939886742854,poly,scale,4,10.0,"{'kernel': 'poly', 'gamma': 'scale', 'degree': 4, 'C': 10}",0.957815908709515,0.9666053143775916,0.9790238465744207,0.9854376077722169,0.9776885225217647,0.9733142399911019,0.009837865182568266,35,0.9154010740057056,0.9245261064567994,0.9230979518021617,0.9522437649829668,0.9365353072296757,0.9303608408954618,0.0128652610582062,33
1.000670862197876,0.06149550846945734,0.04908065795898438,0.0038618893822659735,linear,auto,4,1.0,"{'kernel': 'linear', 'gamma': 'auto', 'degree': 4, 'C': 1}",0.9726883705319684,0.9803143775916052,0.9836922235774067,0.9897064389956681,0.9817891239433065,0.9816381069279909,0.005498913067451201,1,0.921924819600604,0.9220508589320469,0.9450098835008622,0.9552403583294782,0.9382912057871051,0.9365034252300193,0.013023371823785053,12
4.2847474098205565,0.6937974825833256,0.05907893180847168,0.015893660271804732,linear,auto,2,10.0,"{'kernel': 'linear', 'gamma': 'auto', 'degree': 2, 'C': 10}",0.9670456452424905,0.9817741389523569,0.9801173402868317,0.9876666526475165,0.9789292173108466,0.9791065988880086,0.0067366157022516445,14,0.9244000671253566,0.925086739443175,0.9420132901543508,0.9485216806157211,0.9320877318416957,0.9344219018360598,0.009481178362073425,21
2.042648506164551,1.4797916811331449,0.731666898727417,1.0722666427548975,rbf,auto,2,100.0,"{'kernel': 'rbf', 'gamma': 'auto', 'degree': 2, 'C': 100}",0.9671295519382447,0.9777756621816027,0.9812318627244816,0.9881923707784833,0.9800647684737351,0.9788788432193094,0.0068256540947451575,18,0.9173519046819935,0.9325124820174324,0.9390166968078395,0.9534844597720488,0.9402573915969215,0.9365245869752471,0.011759850845614948,10
7.622539615631103,0.543062207478278,0.6973000526428222,0.12437228744433787,poly,auto,4,0.1,"{'kernel': 'poly', 'gamma': 'auto', 'degree': 4, 'C': 0.1}",0.9291617721094142,0.9148789878987899,0.9489527694831139,0.9486373386045338,0.9308575514152333,0.934497683902217,0.012926678508495971,50,0.6046945796274542,0.6086358635863587,0.6016949152542372,0.5847457627118644,0.5635593220338984,0.5926660886427626,0.016680368355480295,50
