mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_reg_alpha,param_reg_lambda,param_scale_pos_weight,param_subsample,params,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,split0_test_F1,split1_test_F1,split2_test_F1,split3_test_F1,split4_test_F1,mean_test_F1,std_test_F1,rank_test_F1
0.5879054546356202,0.007925502435870575,0.1177065372467041,0.0018053502484336303,0.8827429375390468,0.7290071680409873,0.24138110400578372,7,0.926300878513349,0.6510770255019445,4.0,0.9400154311159197,"{'colsample_bytree': 0.8827429375390468, 'gamma': 0.7290071680409873, 'learning_rate': 0.24138110400578372, 'max_depth': 7, 'reg_alpha': 0.926300878513349, 'reg_lambda': 0.6510770255019445, 'scale_pos_weight': 4.0, 'subsample': 0.9400154311159197}",0.9760865917100184,0.9819222306846069,0.9883185431299154,0.9891176346889851,0.9849224040038693,0.984073480843479,0.0047455871636994055,56,0.92582648095318,0.938023610053313,0.940772595365269,0.9664066114312151,0.9347794086722463,0.9411617412950447,0.013588282819384546,22
0.7978335857391358,0.028454085135154343,0.12691550254821776,0.012050074776567728,0.7797802696552814,0.09541011649041131,0.1212454756594799,10,0.6659223566174967,0.5912977877077271,3.4,0.9548850970305306,"{'colsample_bytree': 0.7797802696552814, 'gamma': 0.09541011649041131, 'learning_rate': 0.1212454756594799, 'max_depth': 10, 'reg_alpha': 0.6659223566174967, 'reg_lambda': 0.5912977877077271, 'scale_pos_weight': 3.4, 'subsample': 0.9548850970305306}",0.9767997986239302,0.981964542608107,0.9883185431299155,0.9872881355932204,0.9833873070614458,0.9835516654033238,0.004118689358972898,68,0.9270641047155561,0.9399382245916899,0.9382912057871051,0.9646507128737857,0.933023510114817,0.9405935516165908,0.012843899091547619,32
0.6294123649597168,0.013242885570590092,0.12013320922851563,0.009322447081583153,0.7888859700647797,0.1195942459383017,0.2239734361668985,3,0.7217295211648732,0.23598491974895575,3.4,0.7975182385457563,"{'colsample_bytree': 0.7888859700647797, 'gamma': 0.1195942459383017, 'learning_rate': 0.2239734361668985, 'max_depth': 3, 'reg_alpha': 0.7217295211648732, 'reg_lambda': 0.23598491974895575, 'scale_pos_weight': 3.4, 'subsample': 0.7975182385457563}",0.9767158919281759,0.9844186341711095,0.9883816293056316,0.9906527316314085,0.9838919964671742,0.9848121767006999,0.004762447024378344,31,0.9191139452928343,0.9515211136498265,0.9260945451486732,0.9614438322748875,0.9322980190940826,0.9380942910920609,0.01589543856510323,68
0.8092457771301269,0.019897055017500942,0.1223917007446289,0.007073209376965344,0.8090931317527976,0.42754101835854963,0.017625738023228556,5,0.03142918568673425,0.6364104112637804,3.0,0.8034282764658811,"{'colsample_bytree': 0.8090931317527976, 'gamma': 0.42754101835854963, 'learning_rate': 0.017625738023228556, 'max_depth': 5, 'reg_alpha': 0.03142918568673425, 'reg_lambda': 0.6364104112637804, 'scale_pos_weight': 3.0, 'subsample': 0.8034282764658811}",0.9822432455109918,0.9808855885588559,0.9889494048870757,0.9907789039828406,0.9837658241157421,0.9853245934111012,0.003860517911505275,13,0.9173519046819935,0.9417364813404417,0.9414980863860033,0.9517285612146192,0.9347794086722463,0.9374188884590609,0.01139911303428281,79
0.901530647277832,0.01666786092667985,0.12239766120910645,0.004284182319919069,0.9630265895704372,0.24929222914887494,0.1331148769106889,13,0.2030612247347694,0.942853570557981,4.0,0.7159005811655073,"{'colsample_bytree': 0.9630265895704372, 'gamma': 0.24929222914887494, 'learning_rate': 0.1331148769106889, 'max_depth': 13, 'reg_alpha': 0.2030612247347694, 'reg_lambda': 0.942853570557981, 'scale_pos_weight': 4.0, 'subsample': 0.7159005811655073}",0.9769885886893774,0.9822395701108573,0.9869516759894016,0.9873512217689364,0.9837868528409808,0.9834635818799107,0.0037632111332189036,71,0.9191139452928343,0.9313912160446813,0.934053917651512,0.9634100180847038,0.9414980863860033,0.937893436691947,0.014654552210197234,71
0.564521598815918,0.009231676388965914,0.1215479850769043,0.011126316291182374,0.6644885149016018,0.9296976523425731,0.2524361138693251,11,0.10549425983027061,0.45653457048291024,3.4,0.9533121035675474,"{'colsample_bytree': 0.6644885149016018, 'gamma': 0.9296976523425731, 'learning_rate': 0.2524361138693251, 'max_depth': 11, 'reg_alpha': 0.10549425983027061, 'reg_lambda': 0.45653457048291024, 'scale_pos_weight': 3.4, 'subsample': 0.9533121035675474}",0.9767578452760531,0.9824193957857326,0.9882975144046767,0.9896854102704294,0.9840391975438448,0.9842398726561473,0.004592460706872993,52,0.9240644403423393,0.9404988575780655,0.9315725280733481,0.9634100180847038,0.9347794086722463,0.9388650505501406,0.013372031803951565,63
0.6000294208526611,0.015625055852624647,0.11799087524414062,0.004354666705451183,0.7297380084021096,0.12208795470067335,0.11688935142309247,3,0.2721322493846353,0.6476901205413623,3.0,0.9272059063689972,"{'colsample_bytree': 0.7297380084021096, 'gamma': 0.12208795470067335, 'learning_rate': 0.11688935142309247, 'max_depth': 3, 'reg_alpha': 0.2721322493846353, 'reg_lambda': 0.6476901205413623, 'scale_pos_weight': 3.0, 'subsample': 0.9272059063689972}",0.9783310958214465,0.9845032580181096,0.9902531858518737,0.9912415359380915,0.9855112083105522,0.9859680567880147,0.004622757450111041,4,0.922826816579963,0.9515211136498265,0.9452201707532489,0.9626845270639696,0.9390166968078395,0.9442538649709695,0.013266365655529029,2
0.9924641609191894,0.020635279058017167,0.12953834533691405,0.01444736496779574,0.9442922333025374,0.006952130531190703,0.16322419077326972,11,0.4848299713589832,0.6924360328902703,3.4,0.7350460685614512,"{'colsample_bytree': 0.9442922333025374, 'gamma': 0.006952130531190703, 'learning_rate': 0.16322419077326972, 'max_depth': 11, 'reg_alpha': 0.4848299713589832, 'reg_lambda': 0.6924360328902703, 'scale_pos_weight': 3.4, 'subsample': 0.7350460685614512}",0.975813894948817,0.9822818820343573,0.9872040206922655,0.9887601463599277,0.9830929049081044,0.9834305697886944,0.004518640390543827,73,0.922826816579963,0.9363417110941863,0.9328132228624301,0.955450645581865,0.9414980863860033,0.9377860965008896,0.010736954319742588,75
0.6586726665496826,0.017845370229351187,0.11903462409973145,0.010502534606434617,0.9771638815650077,0.32320293202075523,0.16563718652300982,11,0.4038361710580408,0.06489224710898156,3.4,0.9849789179768444,"{'colsample_bytree': 0.9771638815650077, 'gamma': 0.32320293202075523, 'learning_rate': 0.16563718652300982, 'max_depth': 11, 'reg_alpha': 0.4038361710580408, 'reg_lambda': 0.06489224710898156, 'scale_pos_weight': 3.4, 'subsample': 0.9849789179768444}",0.9790652794092969,0.9812663958703562,0.9888022038104051,0.9877087100979939,0.9853429785086429,0.9844371135393389,0.003727948522092409,44,0.9215891928175868,0.9387006008293136,0.9437691887117803,0.9596879337174581,0.9275455271901417,0.9382584886532562,0.013284708209352014,66
0.615985631942749,0.01463562452282616,0.12017755508422852,0.010674763498811229,0.7007129183301457,0.49724850589238545,0.1002634929450309,3,0.9977404850489419,0.266781014275285,3.4,0.8010716092915446,"{'colsample_bytree': 0.7007129183301457, 'gamma': 0.49724850589238545, 'learning_rate': 0.1002634929450309, 'max_depth': 3, 'reg_alpha': 0.9977404850489419, 'reg_lambda': 0.266781014275285, 'scale_pos_weight': 3.4, 'subsample': 0.8010716092915446}",0.9800931364322872,0.9850744689853601,0.9899587836985322,0.9904424443790217,0.9861210413424739,0.986337974967535,0.0037576173544490933,1,0.92582648095318,0.9447723618515698,0.9377760020187575,0.9614438322748875,0.9360201034613282,0.9411677561119447,0.011810753525838873,21
0.5509259700775146,0.010247392316981555,0.13023319244384765,0.009252062000904343,0.6205915004999957,0.27864646423661144,0.2824797657899961,5,0.6807054515547668,0.5309345833171364,3.4,0.9942601816442402,"{'colsample_bytree': 0.6205915004999957, 'gamma': 0.27864646423661144, 'learning_rate': 0.2824797657899961, 'max_depth': 5, 'reg_alpha': 0.6807054515547668, 'reg_lambda': 0.5309345833171364, 'scale_pos_weight': 3.4, 'subsample': 0.9942601816442402}",0.9791701627789897,0.9823030379961073,0.9886760314589729,0.9884657442065863,0.9859738402658031,0.9849177633412918,0.003679667017268943,28,0.9245888571908037,0.9404988575780655,0.9382912057871051,0.9639252218530514,0.9390166968078395,0.9412641678433731,0.012696965648807648,19
0.6430031299591065,0.023754084443625232,0.1189424991607666,0.004062484614051793,0.6968221086046001,0.6721355474058786,0.23848588459861528,13,0.24215993827742588,0.8031397563798959,3.0,0.8529223322374317,"{'colsample_bytree': 0.6968221086046001, 'gamma': 0.6721355474058786, 'learning_rate': 0.23848588459861528, 'max_depth': 13, 'reg_alpha': 0.24215993827742588, 'reg_lambda': 0.8031397563798959, 'scale_pos_weight': 3.0, 'subsample': 0.8529223322374317}",0.9767788219499917,0.982091478378607,0.9890335197880304,0.9896433528199521,0.9854691508600748,0.9846032647593311,0.0047604701893112595,39,0.9215891928175868,0.9387006008293136,0.9352946124405939,0.9536947470244354,0.9360201034613282,0.9370598513146515,0.010226927519631931,82
0.6066073417663574,0.005008559088435762,0.12879643440246583,0.00573349518650388,0.8534118843043579,0.5357746840747585,0.03708693101632249,3,0.15071754396542947,0.5081987767407187,3.0,0.943343521925488,"{'colsample_bytree': 0.8534118843043579, 'gamma': 0.5357746840747585, 'learning_rate': 0.03708693101632249, 'max_depth': 3, 'reg_alpha': 0.15071754396542947, 'reg_lambda': 0.5081987767407187, 'scale_pos_weight': 3.0, 'subsample': 0.943343521925488}",0.9795477429098843,0.9845878818651096,0.9891281490516045,0.9921457711233544,0.983608108676452,0.9858035307252809,0.004397946375245315,6,0.9203515690552105,0.9367859862909368,0.9372607982504101,0.9559658493502124,0.9474912730790259,0.939571095205159,0.011949909373231189,48
0.720480489730835,0.03242186886252755,0.1391819477081299,0.02497378185226453,0.730383562080754,0.2202410475655483,0.22334485973140536,5,0.3486659872917294,0.09617655109142076,3.0,0.8763750952409863,"{'colsample_bytree': 0.730383562080754, 'gamma': 0.2202410475655483, 'learning_rate': 0.22334485973140536, 'max_depth': 5, 'reg_alpha': 0.3486659872917294, 'reg_lambda': 0.09617655109142076, 'scale_pos_weight': 3.0, 'subsample': 0.8763750952409863}",0.9729820439671085,0.9822184141491072,0.9871619632417883,0.9885919165580184,0.9849224040038693,0.9831753483839784,0.005533600820665929,84,0.92582648095318,0.9546733519505797,0.9238234428228961,0.9651659166421332,0.9305421205366531,0.9400062625810884,0.016737093833892738,45
0.8697000503540039,0.02493522798510856,0.13950581550598146,0.018593178086711775,0.7546941385202149,0.9367299887367345,0.051256283243797975,14,0.7352161192407721,0.20907162073771368,4.0,0.9509357413523924,"{'colsample_bytree': 0.7546941385202149, 'gamma': 0.9367299887367345, 'learning_rate': 0.051256283243797975, 'max_depth': 14, 'reg_alpha': 0.7352161192407721, 'reg_lambda': 0.20907162073771368, 'scale_pos_weight': 4.0, 'subsample': 0.9509357413523924}",0.977806678972982,0.9831810104087332,0.9896012953694747,0.9899167262480549,0.9845228582243344,0.9850057138447159,0.0044861165308162955,20,0.9215891928175868,0.9349877295421849,0.9395319005761871,0.9566913403709467,0.9420132901543508,0.9389626906922512,0.011327611583608866,60
0.7459026336669922,0.07128225044193048,0.14152469635009765,0.02733520081430176,0.7031766510860622,0.659984046034179,0.25516666006036476,11,0.5166358912710143,0.260829174830409,3.0,0.6372411071223597,"{'colsample_bytree': 0.7031766510860622, 'gamma': 0.659984046034179, 'learning_rate': 0.25516666006036476, 'max_depth': 11, 'reg_alpha': 0.5166358912710143, 'reg_lambda': 0.260829174830409, 'scale_pos_weight': 3.0, 'subsample': 0.6372411071223597}",0.9752894781003524,0.9780930016078531,0.9859002397274678,0.9893068932161332,0.9844177145981411,0.9826014654499895,0.005156255219555938,90,0.9203515690552105,0.9301535922823051,0.9230979518021617,0.9584472389283762,0.9263048324010598,0.9316710368938226,0.013781813555121383,100
